0    [main] DEBUG ru.nsu.gordin.Main  - DEBUUUUGGG
2    [main] INFO  ru.nsu.gordin.Main  - factory init
0    [main] DEBUG ru.nsu.gordin.Main  - DEBUUUUGGG
1    [main] INFO  ru.nsu.gordin.Main  - creating factory
3    [main] INFO  ru.nsu.gordin.Main  - factory init
4    [main] DEBUG ru.nsu.gordin.AbstractFactory  - void AbstractFactory.init(String filename = ru/nsu/gordin/initFile)
4    [main] INFO  ru.nsu.gordin.Main  - creating controller
6    [main] INFO  ru.nsu.gordin.Main  - creating viewer
8    [main] INFO  ru.nsu.gordin.Main  - controller run...
13672 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13672 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13673 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13673 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13674 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13674 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13674 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13674 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13675 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13675 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13675 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13675 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13676 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13677 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13677 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13677 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13678 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13678 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13678 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
13679 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13679 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13679 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13679 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13684 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13685 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13685 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13685 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13685 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13685 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13685 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16485 [main] DEBUG ru.nsu.gordin.AbstractFactory  - Command AbstractFactory.create(String key = MOVE)
16490 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = D)
16491 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = D)
16491 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = D)
16491 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = D)
16491 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = D)
16491 [main] DEBUG ru.nsu.gordin.Viewer  - void Viewer.print(Model = ru.nsu.gordin.Model@33ff9a48)
16491 [main] DEBUG ru.nsu.gordin.Model  - char[][] Model.getField()
16491 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16492 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16492 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16492 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
